今回やること
使用CSV: mexc_scan_20260824_115844.csv
A 0 / B+ 3 / B 8 / C 19
仮想残高: 38.00 USDT
累計: 0勝 0敗 判定不能0 総損益 +0.00 USDT 回収率 +0.0%

B | MUSTOCK_USDT | SHORT | price 947.78 | edge 34.0
B+ | SKHYNIXSTOCK_USDT | SHORT | price 1233.01 | edge 29.0
B+ | SKHYSTOCK_USDT | SHORT | price 162.44 | edge 27.0
B | XLM_USDT | SHORT | price 0.19469 | edge 26.5
B+ | SOXL_USDT | SHORT | price 118.69 | edge 24.0
B | ETH_USDT | SHORT | price 2440.19 | edge 23.5
B | SUI_USDT | SHORT | price 0.8272 | edge 23.5
B | HYPE_USDT | SHORT | price 80.803 | edge 21.5
B | WLD_USDT | SHORT | price 0.3947 | edge 20.5
B | ADA_USDT | SHORT | price 0.2206 | edge 19.5
B | SILVER_USDT | SHORT | price 68.95 | edge 18.0
C | XAU_USDT | LONG | price 4643.84 | edge 17.5
